makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelmain,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
9,91,1,1,1,1,5,0,0,1,1,2,28,1,114,3,6,8,271.45379639,1,1,0,9,1,0,0
9,91,1,1,3,1,5,0,1,1,1,2,28,2,115,4,6,8,271.45379639,1,1,0,9,1,0,0
9,91,1,1,1,1,5,0,0,1,1,2,28,2,116,5,2,1,271.45379639,1,1,0,9,1,0,0
1,12,1,1,3,3,5,0,1,1,1,2,28,1,117,2,6,8,271.45379639,1,1,0,1,0,1,1
2,31,1,1,1,1,5,0,1,1,1,2,28,2,118,3,6,8,271.45379639,1,1,0,1,1,0,0
9,91,1,1,1,1,5,1,1,1,1,2,28,2,119,5,2,8,271.45379639,1,1,0,9,0,1,1
0,11,1,1,1,1,5,0,1,1,1,2,28,2,120,4,6,8,271.45379639,1,1,0,0,1,0,0
2,31,1,1,3,1,5,0,0,1,1,2,28,1,121,2,6,8,271.45379639,4,1,0,1,0,0,1
1,31,2,1,1,1,5,1,1,1,1,2,28,3,122,2,6,8,271.45379639,1,1,0,1,1,0,0
1,31,1,1,1,1,5,1,1,1,1,2,28,1,123,2,6,8,271.45379639,4,1,0,1,1,0,1
0,31,1,1,3,1,5,1,1,1,1,2,28,1,124,3,6,8,271.45379639,4,1,0,0,1,0,1
9,91,2,1,1,1,5,0,0,1,1,2,28,1,125,2,6,8,271.45379639,4,1,0,9,1,0,0
9,91,1,1,2,1,5,0,0,1,1,2,28,1,126,2,6,8,271.45379639,1,1,0,9,0,0,1
0,31,2,3,1,1,5,0,1,1,1,3,28,1,127,3,6,8,351.52288818,1,1,0,0,1,0,0
9999,21,1,1,3,1,5,1,1,1,1,3,28,1,128,2,6,8,351.52288818,1,1,0,9999,1,0,0
0,21,3,1,3,1,5,1,1,1,1,3,28,2,129,3,7,8,351.52288818,1,1,0,0,1,1,0
0,32,5,1,1,1,4,0,0,5,1,1,28,1,13,1,6,3,228.5216217,0,1,0,0,0,0,1
1,21,1,1,1,1,5,0,1,1,1,3,28,2,130,4,2,8,351.52288818,1,1,0,1,1,0,1
0,21,5,3,3,3,5,0,1,1,1,3,28,1,131,2,6,1,351.52288818,1,1,0,0,0,0,1
9999,21,3,1,1,1,5,0,1,1,1,3,28,2,132,4,2,8,351.52288818,1,1,0,9999,1,0,0
2,21,1,1,3,1,5,0,1,1,1,3,28,2,133,5,2,6,351.52288818,1,1,0,1,1,0,0
