fdsec01,fdsec02,fdsec03,fdsec04,fdsec05,fdsec06,fdsec07,fdsec08,fdsec09,hhnum,provcode,psurec,regcode,strrec,Wgt2
3,2,2,2,2,0,0,0,0,242,28,3,1,4,341.71463013
3,2,2,2,0,0,0,0,0,243,28,3,1,4,341.71463013
2,1,0,0,0,0,0,0,0,244,28,3,1,4,341.71463013
1,0,0,0,0,0,0,0,0,245,28,3,1,4,341.71463013
3,3,3,3,3,2,2,2,2,246,28,3,1,4,341.71463013
0,2,2,0,0,0,0,0,0,247,28,3,1,4,341.71463013
2,2,2,2,0,0,0,2,0,248,28,3,1,4,341.71463013
0,0,0,0,0,0,0,0,0,249,28,3,1,4,341.71463013
1,1,1,0,0,0,0,0,0,25,28,1,1,4,228.5216217
2,2,0,0,0,0,0,0,0,250,28,3,1,4,341.71463013
0,0,0,0,0,0,0,0,0,251,28,3,1,2,350.72280884
1,3,2,2,2,0,0,0,0,252,28,3,1,2,350.72280884
2,2,0,0,0,0,0,0,0,253,28,3,1,2,350.72280884
0,0,0,0,0,0,0,0,0,254,28,3,1,2,350.72280884
0,0,0,0,0,0,0,0,0,255,28,4,1,2,350.72280884
2,2,2,2,2,0,0,0,0,256,28,4,1,2,350.72280884
1,2,2,2,2,0,0,0,0,257,28,4,1,2,350.72280884
2,2,2,1,2,2,0,1,0,258,28,4,1,2,350.72280884
0,0,0,0,0,0,0,0,0,259,28,4,1,2,350.72280884
3,3,3,3,2,2,2,2,1,26,28,1,1,4,228.5216217
0,1,0,0,0,0,0,0,0,260,28,4,1,2,350.72280884
2,2,2,2,2,2,0,0,0,261,28,4,1,2,350.72280884
2,1,1,0,1,1,0,0,0,262,28,4,1,2,350.72280884
0,0,0,0,0,0,0,0,0,263,28,4,1,2,350.72280884
0,0,0,0,0,0,0,0,0,264,28,4,1,2,350.72280884
0,0,0,0,0,0,0,0,0,265,28,4,1,2,350.72280884
0,0,0,0,0,0,0,0,0,266,28,4,1,2,350.72280884
1,1,1,2,2,2,2,0,0,267,28,3,1,3,341.18518066
