regcode,provcode,hhnum,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Calc,Total_CHO,Total_Ener,Total_Fat,Total_Iron,Total_Prot,Total_Nia,Total_Ribo,Total_Thia,Total_VitA,Total_VitC,cu,psurec,strrec,wgts
2,15,2797,362.0663478260869,323.0780869565217,0,38.98826086956522,72.88173913043478,43.75304347826087,39.3411720226843,186.7598186282843,32.86956521739131,122.585905584806,75.10344827586208,0,75.10344827586208,364.9594732456408,260.6659578583682,91.15686942453954,13.13664596273296,0,171.0652173913043,77.57608695652174,93.48913043478261,44.35523291925469,43.43478260869565,2.478260869565217,39.39130434782609,1.565217391304348,10521.8554457032,5496.2275390625,2768.876953125,18269.60331384,507.8096008300781,125.8440780639648,663.4989624023438,251.5013275146484,10.53557777404785,8.862042427062988,10535.4541015625,694.3896484375,7.666666666666667,0130911017000,15032,552.6711213588715
2,15,2798,216,216,0,0,0,4.5,43.25,40.695652173913,32.195652173913,8.5,0,0,0,64.76638832,64.76638832,0,0,47,0,0,0,0,10.25,8.75,1.5,0,1705.84816197565,1560.22900390625,808.3235473632813,4166.72417714842,38.62336349487305,39.62866973876953,146.1202392578125,41.80588150024414,2.175530433654785,2.789107084274292,1378.619018554688,65.41840362548828,4,0130911017000,15032,552.6711213588715
2,15,2800,378.0536470588235,348.936,0,29.11764705882353,0,18.52941176470588,0,197.8235294117647,0,197.8235294117647,0,0,0,305.0227764705882,53.31395294117647,251.7088235294118,0,0,57.86029411764706,57.86029411764706,0,3.529411764705882,24.70588235294117,2.470588235294117,14.64705882352941,7.588235294117647,5584.6414,3190.31396484375,1947.684814453125,10807.71518,179.7183990478516,52.9796257019043,352.729248046875,121.804313659668,5.378567695617676,7.445642948150635,475.5703125,240.4924163818359,5.666666666666667,0130911017000,15032,552.6711213588715
2,15,2805,181.295625,163.837125,0,17.4585,0,10.5,0,80.67859331637375,36.78763586956519,43.89095744680856,0,0,0,172.454163556701,62.56242,44.13136855670101,65.76037500000001,24.9375,77.203125,77.203125,0,6.75,24.9375,7.125,17.8125,0,3086.70136998973,2242.090087890625,976.989990234375,7009.611361312,236.8003234863281,61.75419998168945,241.8433990478516,82.57752227783203,5.055449962615967,3.87180233001709,4099.83447265625,109.8454971313477,5.333333333333333,0130911017000,15032,552.6711213588715
2,15,2979,235.483,230,0,5.483,29.2,3.6,0,158.4,0,158.4,0,0,0,235.46695652174,60.27999999999999,175.1869565217392,0,43,38.125,38.125,0,15.6,15.6,5.4,9,1.2,3872.3747826087,1739.730590820313,905.2418823242188,6349.698,168.3788146972656,46.79324340820313,286.7219543457031,104.6067886352539,3.964526891708374,3.123119354248047,1169.792358398438,225.0554046630859,5,0141022003002,15032,554.8599178791046
2,15,2982,444.8543333333334,397.955,0,46.89933333333334,0,55.38666666666666,0,302.5,170,132.5,0,0,0,176.9309333333333,131.2642666666667,45.66666666666666,0,60.83333333333334,69.89583333333333,69.89583333333333,0,0,20,11.66666666666667,8.333333333333332,0,6782.4066,3746.38037109375,2554.55615234375,14204.20302,242.6021270751953,99.24547576904297,447.9878234863281,211.1399536132813,6.808684825897217,5.578484058380127,4148.94091796875,728.8355102539063,6,0141022003002,15032,554.8599178791046
2,15,2983,179.0133333333333,162.4216666666667,0,16.59166666666667,0,3.833333333333334,0,0,0,0,0,0,0,202.8082653862883,135.3149852444445,37.07744680851067,30.41583333333334,1.347126436781608,0,0,0,22.83333333333333,30.33333333333333,22.83333333333333,1.5,6,2641.01235093842,3236.883056640625,1007.915649414063,8048.19006984,316.1034851074219,30.85173034667969,282.9298400878906,148.4613037109375,3.452695608139038,2.132304906845093,762.0977172851563,1077.59619140625,6,0141022003002,15032,554.8599178791046
2,15,2985,444.835,412.065,0,32.77,0,17.5,0,250.1893772893773,185,65.18937728937733,118,51.66666666666666,66.33333333333333,215.5354666666667,95.4068,120.1286666666667,0,45.83333333333334,207.1458333333333,0,207.1458333333333,724.79,22,3.333333333333334,3.666666666666667,15,12274.9740637363,6660.583984375,2621.08642578125,16209.02026,395.4293212890625,111.0237045288086,533.2147827148438,294.6325988769531,13.88252639770508,26.53459739685059,2190.467529296875,518.7437133789063,6,0141022003002,15032,554.8599178791046
2,15,2987,697.0365000000001,642.7965,0,54.24,0,48.375,0,227.25,0,227.25,0,0,0,770.2103021739151,304.81815,191.6421521739131,273.75,0,0,0,0,1.5,10.875,3,3,4.875,4680.65813913044,1450.014038085938,1712.174682617188,9746.66496,121.4289703369141,51.66807556152344,449.653564453125,181.7695617675781,3.932624101638794,3.851795673370361,681.7999877929688,69.52719879150391,2.666666666666667,0141022003002,15032,554.8599178791046
2,15,2990,281.5171111111111,266.4011111111111,0,15.116,0,14,0,116.4444444444444,21.66666666666667,94.77777777777777,15,15,0,133.3892888888889,133.3892888888889,0,0,51.11111111111111,118.6111111111111,118.6111111111111,0,8.888888888888889,58,51.11111111111111,6.888888888888889,0,7172.6576,4372.42041015625,2443.325927734375,13599.173788,229.4630126953125,81.6334228515625,437.1764221191406,187.2266998291016,6.93116044998169,5.682784557342529,3891.281005859375,319.9620666503906,9,0141022003002,15032,554.8599178791046
