Total_Energy,fg6,fg7,fg8,fg9,hhnum,provcode,psurec,regcode,strrec,Total_Calcium,Total_CHO,fg5,Total_Fat,Total_FoodIntake,Total_Iron,Total_Niacin,Total_Protein,Total_Riboflavin,Total_Thiamin,Total_VitaminA,Total_VitaminC,wgts,fg19,fg1,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,cu,fg2,fg20,fg21,fg23,fg24,fg25,fg26,fg27,fg3,fg4
6978.0200195,0,0,63.739997864,0,207,28,2,1,2,32.260002136,1369.2199707,0,48.049999237,2952.7700195,1338.9000244,97.61000061,265.38000488,5.9111099243,2.3322963715,8306.5400391,46.989997864,1399.3125,0,1629.6999512,63.739997864,0,0,0,1030.7299805,952.02001953,0,78.709999084,148.69999695,4,1629.6999512,0,0,9.6999998093,70.199996948,50,20.200000763,0,0,0
5818.25,0,36.700000763,1079,0,208,28,2,1,2,35.440002441,945.62005615,0,149.41000366,3243.630127,1316.9399414,58.430000305,170.69999695,2.6192855835,3.1340656281,737.72998047,127.11000061,1399.3125,0,1167.5700684,1079,0,0,0,723.15997314,88.910003662,92.449996948,541.79998779,123,4,1076.9000244,0,0,48.099998474,66.099998474,50,16.100000381,0,0,90.669998169
3218,22.399999619,0,271.70001221,271.70001221,209,28,2,1,2,20.5,691.21002197,0,8.1199998856,1392.6400146,1162.2099609,34.5,94.199996948,0.98633998632,0.99768996239,404.14001465,113.44000244,1399.3125,0,783.94000244,0,0,0,0,236.19999695,236.19999695,0,0,0,1.6666666865,783.94000244,0,0,0,78.400001526,25,53.400001526,0,0,0
7652.550293,88.699996948,0,189.69999695,170.30000305,210,28,2,1,2,38.790000916,1335.0900879,247.1000061,157.61000061,3159.9799805,2561.1999512,67.150001526,222.34999084,4.236120224,3.1462600231,2790.619873,221.30000305,1399.3125,0,1615.0599365,19.399999619,0,0,0,484.21002197,444.77001953,39.439998627,0,365.51000977,7,1478.9499512,0,0,88.400001526,81.300003052,31.700000763,49.599998474,0,0,136.11000061
6233.1904297,21.600000381,0,420.17999268,307.54998779,211,28,2,1,2,37.649997711,1241.6999512,0,71.969299316,2492.7099609,1757.5100098,53.090000153,155.07000732,2.3065898418,2.0056300163,1572.8000488,357.82000732,1399.3125,0,1412.1300049,112.63000488,0,0,0,80.5,80.5,0,0,167.80000305,2.3333333731,1309.9000244,0,0,23.899999619,366.6000061,339.29998779,27.299999237,0,50,52.229999542
7592.9404297,0,0,980.78997803,0,212,28,2,1,2,38.590000153,1316.0500488,0,168.6599884,3285.4399414,2292.2600098,68.719993591,201.02999878,3.601170063,2.4470601082,2526.2299805,371.38000488,1399.3125,0,1423.0700684,980.78997803,0,0,0,373.07998657,359.20999146,0,13.869999886,250.80000305,7,1412.7800293,0,0,130.19999695,127.5,100,27.5,0,0,10.289999962
3877.420166,0,47.799999237,590.94000244,176.03999329,213,28,2,1,2,38.369998932,734.52996826,0,47.450000763,1781.5100098,913.5,43.299999237,119.56999969,3.3197126389,2.0233075619,10038.969727,109.29000092,1399.3125,0,815.90002441,414.8999939,0,0,0,254.47000122,26.450000763,228.02000427,0,0,2.3333333731,785.90002441,0,0,0,72.400001526,40,32.400001526,0,0,30
9594.5498047,11.600000381,0,868.69000244,599.85003662,214,28,2,1,2,61.470001221,1481.789917,0,287.03997803,3454.8898926,2770.5600586,86.720001221,269.32000732,3.5356099606,5.9600000381,2791.9799805,403.98001099,1399.3125,0,1481.2799072,268.83999634,0,0,0,774.2199707,431.94000244,342.27999878,0,0,5,1339.3299561,0,0,121.5,197.6000061,121,76.599998474,0,0,141.94999695
6973.8300781,279.60998535,0,2145.4799805,1360.8499756,215,28,2,1,2,50.709999084,924.60003662,0,207.91000366,4914.6801758,2499.2700195,107.15999603,344.75,3.6008119583,4.1731319427,2226.2900391,706.39001465,1399.3125,0,633.29998779,784.63000488,0,0,0,1743.1900635,1061.9500732,292.27999878,388.95999146,0,5.0000000596,532.54998779,0,0,38.799999237,74.300003052,40,34.300003052,0,0,100.75
17978.445313,202.5,0,310.29998779,80,216,28,2,1,2,92.412086487,2675.1838379,0,559.68249512,5853.4443359,2705.9152832,154.69647217,555.38781738,4.0480899811,7.7843499184,2400.1486816,42.274059296,1399.3125,138.01249695,3055.8469238,230.30000305,0,0,0,1977.8851318,541,1436.8851318,0,0,3.6666666865,2444.3608398,138.01249695,0,30,138.8999939,130.69999695,8.1999998093,0,23,588.48602295
