Total_Ener,fg7,fg8,fg9,hhnum,provcode,psurec,regcode,strrec,Total_Calc,Total_CHO,fg6,Total_Fat,Total_Food,Total_Iron,Total_Nia,Total_Prot,Total_Ribo,Total_Thia,Total_VitA,Total_VitC,weight_fact,fg2,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg1,fg20,fg21,fg23,fg24,fg25,fg26,fg27,fg3,fg4,fg5
2377.184,0,86.45,40.95,38307,68,2,16,823,914.0604,501.0805,60,10.27299,1317.515,10.18864,18.39886,65.70174,0.57539,0.656595,287.4806,112.1326,211.90909,474.7357,45.5,279.5,279.5,0,307.3633,307.3633,0,0,0,0,499.4517,0,0,0,84.75,12.5,72.25,0,0,24.716,0
1508.926,3.272727,5.718182,0,38308,68,2,16,823,496.0504,316.3214,23.90909,10.76748,596.9353,5.807135,12.3377,36.46302,0.3627009,0.3827555,104.6201,28.94725,211.90909,324.004,5.718182,104.8545,104.8545,0,84.34952,84.34952,0,0,0,0,348.1585,0,0,0,26.67273,9.090909,17.58182,0,0,24.15455,0
1402.536,4.333333,134.397,51.94263,38311,68,2,16,823,291.9307,280.5092,0,11.88217,651.723,6.579466,13.52541,37.83256,0.3185484,0.4116233,234.8174,27.74666,211.90909,282.7667,82.45437,0,0,0,129.7539,83.99587,45.758,0,0,61.12709,319.495,61.12709,0,0,2.616667,0,2.616667,0,0,36.72833,0
1849.334,0,0.4764706,0,38313,68,2,16,823,756.9951,368.4959,0,15.78565,753.683,5.999,17.63977,56.64457,0.5059624,0.4853629,128.9768,20.45119,211.90909,444.5854,0.4764706,76.57059,76.57059,0,197.3829,197.3829,0,0,0,0,451.1767,0,0,12.49412,15.58235,3.529412,12.05294,0,0,6.591176,0
3469.018,0,33.36959,9.20488,38314,68,2,16,823,601.3939,567.3243,50.6,70.5708,1924.593,13.23809,43.69157,140.1739,1.36846,1.82268,423.9183,32.83043,211.90909,579.8406,24.16471,0,0,0,939.3951,631.1948,308.2003,0,0,0,589.1506,0,0,0,289.3,265,24.3,0,0,9.31,22.77765
774.3057,0,70.48448,70.48448,38315,68,2,16,823,298.9443,161.0201,0,5.386548,672.6759,5.995515,8.497143,20.61629,0.33786,0.558735,365.6323,128.809,211.90909,37.71765,0,80.675,0,80.675,97.59897,97.59897,0,0,0,0,61.41743,0,0,0,13.375,10.5,2.875,0,23.69978,0,349.125
1806.273,2.033333,68.8191,56.41042,38316,68,2,16,823,343.5013,308.3958,11,40.4731,888.0078,9.882553,16.69239,51.7269,0.67303,0.6205267,391.5048,53.6189,211.90909,313.0333,12.40869,73.7335,0,73.7335,160.3618,160.3618,0,0,75.4,0,464.46,0,0,23.8,8.400001,0,8.400001,0,144.5667,6.86,0
2573.118,9.4445,115.9945,68.22787,38480,68,1,16,823,430.5994,542.4775,0,15.13529,1003.334,10.42569,24.22874,66.51597,0.6016383,0.8411717,141.412,53.87228,193.75,602.8167,47.76667,0,0,0,148.0781,148.0781,0,0,0,0,612.6166,0,0,5.433333,111.7667,104,7.766666,0,0,9.8,0
2048.176,10.575,236.2218,0,38481,68,1,16,823,327.2497,373.5487,0.6375,28.63496,1125.205,10.17486,28.43835,73.89532,0.6730012,0.7502025,237.9482,23.31616,193.75,486.0548,236.2218,0,0,0,294.275,196.0733,98.20167,0,45.95625,0,498.6147,0,0,11.86875,27.05625,1.81875,25.2375,0,0,12.55995,0
1289.64,2.85,15.35,0,38482,68,1,16,823,302.5043,237.6748,0,15.74027,631.3474,5.25765,16.96208,49.22647,0.434865,0.450895,202.1347,34.8933,193.75,216.8384,15.35,109,109,0,207.954,117.8994,0,90.05466,0,32.025,230.0684,32.025,0,0,34.1,15,19.1,0,0,13.23,0
1786.419,0,52.1501,33.74,38483,68,1,16,823,334.4356,343.9548,0,29.67578,653.2618,8.924871,15.17778,41.36138,0.674584,0.895776,292.0343,19.80528,193.75,357.46,18.4101,0,0,0,26.24679,26.24679,0,0,43.38,84.485,387.3,84.485,0,9.04,50.66,49.6,1.06,0,0,29.84,0
2840.16,6.2,148.7204,74.05569,38484,68,1,16,823,380.9876,349.4522,32.44,118.4762,1303.229,11.6368,32.63194,92.14877,0.8612366,1.802497,208.8402,76.85021,193.75,357.8621,74.66476,0,0,0,572.4729,46.04261,484.33,42.10032,0,0,357.8621,0,0,16.16667,169.3667,162.5,6.866667,0,0,0,0
1438.019,0,5.225,0,38485,68,1,16,823,184.3044,300.4877,0,7.883617,605.0159,4.981533,15.79315,41.09155,0.35747,0.43788,116.3369,4.979688,193.75,314.6,5.225,0,0,0,149.0409,149.0409,0,0,0,0,324.4,0,0,0,126.35,104,22.35,0,0,9.8,0
2196.119,15.2,31.6,0,38486,68,1,16,823,377.9643,343.461,0,33.87325,1363.943,11.53408,50.35956,129.9221,0.72933,0.54108,674.7141,1.42013,193.75,416.2,31.6,0,0,0,832.4427,832.4427,0,0,0,0,416.2,0,0,0,68.5,0,68.5,0,0,0,0
1653.499,0,0,0,38487,68,1,16,823,158.9011,326.7007,0,16.88527,569.6291,4.801663,17.10555,48.53566,0.3075767,0.6017033,109.3752,0,193.75,365.8,0,0,0,0,134.0957,134.0957,0,0,0,0,420.8,0,0,0,14.73333,0,14.73333,0,0,55,0
1744.993,6.066667,2.27451,0,38489,68,2,16,826,207.9729,334.7877,0,23.04113,674.6385,8.007565,19.40209,49.30732,0.4692017,0.72722,123.2228,0.1353333,220.28571,476.3833,2.27451,0,0,0,126.314,61.83267,0,64.48133,17.83333,0,494.7167,0,0,12.25,15.18333,0,15.18333,0,0,18.33333,0
916.4835,0,0,0,38490,68,2,16,826,147.8317,199.8971,0,3.85453,468.9406,3.63617,5.55465,20.45891,0.16339,0.19666,13.29104,34.36215,220.28571,142.2801,0,223,0,223,38.6648,30.87542,0,7.78938,0,0,207.2758,0,0,0,0,0,0,0,64.9957,0,0
2465.875,0,5.06,0,38491,68,2,16,826,424.9771,513.4069,20.88,17.80451,1100.674,9.742617,16.35739,62.56263,0.635642,0.788206,228.4385,61.63483,220.28571,341.84,5.06,333.14,0,333.14,175.3052,175.3052,0,0,0,15.4025,540.2067,15.4025,0,0,10.68,4.4,6.28,0,186.7,11.6667,0
1666.446,0,2.02,0,38492,68,2,16,826,737.3766,334.5962,0,18.40345,773.5361,7.748452,10.37462,40.74282,0.39679,0.654786,243.8967,88.98273,220.28571,200.74,2.02,0,0,0,69.91823,69.91823,0,0,31.9,0,367.5179,0,0,11.06,2.52,0,2.52,0,166.7779,0,288.6
1722.301,11.03333,92.25778,12.82347,38493,68,2,16,826,239.1595,335.9832,4.4,22.85612,729.8281,8.419073,13.72746,42.91457,0.4716255,0.6338356,265.2084,22.18471,220.28571,322.0091,79.43431,138.0444,0,138.0444,63.73171,31.76504,0,31.96667,32.83333,0,360.072,0,0,3.244445,15.74444,10.77778,4.966667,0,0,38.06289,8.466666
2091.118,5.4,216.5801,4.819277,38494,68,2,16,826,265.332,413.1274,3.866667,24.05911,1029.799,7.080896,10.96369,54.31278,0.55037,0.6405467,290.496,71.1105,220.28571,0,211.7608,125.2333,0,125.2333,113.8063,113.8063,0,0,18.2,0,413.6796,0,0,7.9,31.8,16.66667,15.13333,0,406.6029,7.076666,93.33334
1703.445,7.5,249.44,41,38495,68,2,16,826,449.5049,336.1772,2.84,19.96904,897.9538,11.46438,15.14462,44.43076,0.821032,1.112994,395.1537,26.7241,220.28571,443.18,208.44,0,0,0,67.35381,12.4442,54.9096,0,32.54,39.16,465.18,39.16,0,4.4,29.54,24.8,4.74,0,0,22,0
1749.208,63.72857,18.51354,0,38496,68,2,16,826,322.0259,323.5185,8.114285,29.38443,597.5806,12.59397,11.70361,47.43947,0.7443228,1.247381,406.5371,26.04568,220.28571,266.1032,18.51354,131.4571,0,131.4571,0,0,0,0,49.27143,0,290.6301,0,0,14.32269,21.54286,18,3.542857,0,0,24.52686,0
1534.803,5.175,162.6671,154.7824,38497,68,2,16,826,386.6996,323.7032,5.675,10.07603,656.3205,11.02034,8.285268,37.81065,0.30953,0.62947,325.6201,71.09815,220.28571,0,7.884725,0,0,0,32.53394,32.53394,0,0,0,0,428.475,0,0,5.75,16.04445,1.45,14.59445,0,428.475,0,0
1900.227,5.5,149.7914,0,38498,68,2,16,826,324.6386,380.0052,0,23.00647,681.0366,7.952344,15.39686,42.93032,0.5491014,0.9154214,144.7861,11.02516,220.28571,414.3585,149.7914,0,0,0,34.70406,34.70406,0,0,16.3,0,454.3773,0,0,7.206736,13.15714,7.428571,5.728572,0,0,40.01882,0
1688.886,0,368.0851,146.3051,38499,68,2,16,826,349.4495,343.3535,14.84,17.42128,1087.315,8.806094,11.10022,39.29843,0.502116,0.48312,287.2228,70.7021,220.28571,172.6837,221.78,269.1,0,269.1,56.39074,56.39074,0,0,0,6.8625,346.8368,6.8625,0,8.08,17.12,3.3,13.82,0,174.1531,0,0
1641.073,3.344445,305.4778,136.8111,38500,68,2,16,826,306.4775,327.3621,16.97778,23.22365,861.554,8.351795,12.57869,32.09742,0.5175567,0.74656,237.0409,64.88019,220.28571,318.6541,168.6667,144.0444,0,144.0444,0,0,0,0,16.08889,11.35278,333.7018,11.35278,0,14.61045,15.95556,10.65555,5.3,0,0,15.04778,0
2167.3,0,95.72467,61.07467,38501,68,2,16,826,414.9638,430.4435,4.066667,24.29937,1018.625,10.01025,17.24465,56.4315,0.7239251,0.9170733,313.7147,66.90327,220.28571,312.0577,34.65,223.7333,0,223.7333,114.2166,114.2166,0,0,27.61667,36.6,502.067,36.6,0,4.166667,10.43333,5.483334,4.95,0,154.3927,35.61666,0
1524.618,26.8,105.3988,39.7774,38504,68,2,16,826,265.0108,305.1857,0,14.63585,614.2325,8.473724,14.61621,43.00907,0.431148,0.728926,223.904,12.71098,220.28571,341.8133,65.62142,0,0,0,101.6523,85.49725,0,16.15504,0,0,349.8214,0,0,4.68,25.88,14.3,11.58,0,0,8.008,0
1302.302,0,19.97835,13.75538,38506,68,1,16,826,196.2669,268.8323,0,7.31826,576.9995,5.158278,10.60754,39.9626,0.3980963,0.4662425,163.7479,30.02373,193.25,167.5151,6.222972,45.75,45.75,0,156.8638,156.8638,0,0,0,0,336.3074,0,0,0,18.1,8.9375,9.1625,0,168.7923,0,0
1650.547,0,81.2899,0,38507,68,1,16,826,352.2484,333.537,5.88,21.87788,740.8705,12.35116,11.75938,30.53839,0.674422,1.204802,452.2366,128.2504,193.25,224.371,81.2899,0,0,0,3.667436,3.667436,0,0,32.04,0,260.133,0,0,4.804802,38.36,28.6,9.76,0,0,35.762,314.6954
1704.598,0,215.2,37.88334,38509,68,1,16,826,369.121,366.1833,21.23333,10.9633,662.0941,8.796908,13.27868,35.10004,0.43064,0.6996567,268.4072,40.93662,193.25,380.0278,177.3167,0,0,0,13.26964,13.26964,0,0,0,0,388.3245,0,0,3.883333,20.18333,12,8.183333,0,0,8.296667,0
1621.737,6.633333,87.75452,15.51458,38510,68,1,16,826,254.463,317.6358,24.63333,24.79628,521.7476,9.354213,10.40467,32.1954,0.5306666,0.7582366,398.1414,13.29922,193.25,304.9232,72.23993,0,0,0,0,0,0,0,42.46667,0,316.6931,0,0,12.43333,31.13333,23.83333,7.3,0,0,11.76987,0
1705.572,6.471428,176.6729,15.88571,38512,68,1,16,826,286.11,347.9511,10.94286,18.37632,661.9215,6.957227,12.23537,36.37058,0.4849757,0.6330528,193.6509,15.35673,193.25,389.1822,160.7871,0,0,0,0,0,0,0,32.7,19.38929,392.3037,19.38929,0,10.32715,13.11429,10.64286,2.471428,0,0,3.121429,0
2190.348,0,125.1588,0,38513,68,1,16,826,806.3688,458.9174,23.725,16.3462,1170.528,10.42895,18.36818,51.55196,1.024233,0.8392475,322.0384,59.85548,193.25,537.5743,125.1588,0,0,0,56.61322,56.61322,0,0,0,316.2469,545.0243,316.2469,0,0.775,30.65,1.725,28.925,0,0,7.45,72.33488
1621.037,26.42,201.32,0,38514,68,1,16,826,293.1974,314.1034,11.66,21.67049,787.495,7.983953,9.010179,42.12002,0.489346,0.747588,60.15919,70.77058,193.25,175.1866,201.32,86.12,86.12,0,55.6688,0,55.6688,0,0,51.545,340.9812,51.545,0,0,13.78,1.64,11.98,0.16,133.3048,32.48976,0
