regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,28,27,1,39.033539,2,10,229.43851,151.99651,0,77.442001,0,18,0,122.51713,0,122.51713,0,0,0,60.57,0,60.57,0,0,0,0,0,0,0.5,0.5,0,0,431.02563,1210.988159,35.85858154,207.8763885,8.711070061,218.3329773,22.51049995,1.754609942,0.840330005,19.26366043,209.39505,25.50782013,5209025000,28022,5283.959961
1,28,35,1,29.084188,2,3,108.40088,94.60688,0,13.794,0,7.5,0,90.924423,60.666672,30.25775,0,0,0,791.90002,791.90002,0,0,0,38.125,38.125,0,0,0.505,0.505,0,0,1037.3553,980.7697754,88.61862183,762.3513184,8.540929794,334.8626709,12.52320957,0.440250009,0.906080008,23.97233963,112.9040833,19.28116989,11317014000,28012,5267.959961
1,28,37,2,27.698837,2,6,258.80426,239.87926,0,18.924999,0,48.599998,0,96.45845,0,96.45845,153.5,103.5,50,574.24554,133.04552,148.2,293,27.5,0,0,0,19.995001,6.25,0.25,0,6,1185.3533,2559.65918,104.0372086,418.0553894,10.1521101,256.4790039,74.46968079,1.382740021,0.984709978,33.94369888,287.5144348,110.7894821,11317014000,28012,5267.959961
1,28,38,2,20.468172,2,12,397.81799,397.81799,0,0,0,2.5,0,62.3638,15.38028,46.983521,0,0,0,286.44501,286.44501,0,0,17.658051,19.0625,19.0625,0,6.5022202,0,0,0,0,792.34955,1686.702637,58.13311005,349.0759888,6.848509789,186.0283966,8.019399643,0.536660016,0.597370028,20.12070084,327.2878723,15.92453003,11317014000,28012,5267.959961
1,28,39,4,2.0506504,1,99,603.8175,588.77301,0,15.0445,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,160.125,160.125,0,0,0,0,0,0,1536.6351,483.609375,11.11744976,244.0512085,0.246619999,0.528349996,3.311980009,2.940000057,81.80448914,12.66186047,161.1604156,1.40297997,11317014000,28012,5267.959961
1,28,39,3,3.6057494,2,0,213.862,151.371,0,62.491001,0,8.5998001,0,0,0,0,0,0,0,51.58387,10.48387,41.099998,0,0,57.1875,57.1875,0,0,0,0,0,0,653.86652,1241.216431,34.02225113,173.6391754,0.606920004,0.488050014,9.928870201,1.100000024,216.6506195,26.4602108,124.0458298,4.728010178,11317014000,28012,5267.959961
1,28,40,6,1.1909651,1,99,534.45673,462.16751,15,57.289249,0,60,0,13.01427,10.25352,2.7607501,54.5,0,54.5,36.478722,36.478722,0,0,0,443.125,343.125,100,0,0,0,0,0,2223.1497,1070.470215,27.01678085,548.3469238,1.218950033,0.954360008,11.06919003,29.42210007,167.6001434,33.73051071,296.6234436,12.13329983,11317014000,28012,5267.959961
1,28,40,4,29.152636,2,12,208.41451,173.88901,0,34.525501,0,60.419998,0,78.365784,25.359329,53.006451,124.77263,0,124.77263,309.22528,120.98958,163.05713,25.17857,31.784479,138.125,38.125,100,3.8499999,55.5,8.5,0,47,1010.4576,1898.574951,82.54737091,756.2512817,23.0653801,554.5985718,49.1419487,0.686150014,0.862810016,25.95602989,300.0254822,40.81420135,11317014000,28012,5267.959961
1,28,42,2,19.561943,2,10,290.0235,290.0235,0,0,0,9,10.725,164.23557,58.965729,105.26983,0,0,0,68.16452,68.16452,0,0,0,0,0,0,0,0.375,0.375,0,0,542.52356,1210.273682,37.57587051,240.7806854,5.697770119,316.3318481,63.37604904,0.597450018,0.448830009,17.97710037,257.5285034,3.245219946,11317014000,28012,5267.959961
1,28,42,3,3.1813827,1,99,121.43525,101.43525,0,20,0,4.5,4.6799998,50.761341,12.50243,38.258911,0,0,0,27.065319,27.065319,0,0,0,0,0,0,0,0.125,0.125,0,0,407.9538,523.6256104,14.89398956,87.11106873,0.254889995,0.164220005,6.625020027,14.03203011,103.9950104,5.578320026,75.19207001,2.258559942,11317014000,28012,5267.959961
