FDSEC01,FDSEC02,FDSEC03,FDSEC04,FDSEC05,FDSEC06,FDSEC07,FDSEC08,FDSEC09,hhnum,provcode,psurec,regcode,strrec,Wgt2
0,0,0,0,0,0,0,0,0,4,28,4,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,40,28,4,1,4,329.5
2,2,0,0,0,0,0,0,0,41,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,42,28,4,1,4,329.5
0,1,1,0,1,0,0,0,0,43,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,44,28,4,1,4,329.5
1,1,1,1,1,0,0,0,0,45,28,4,1,4,329.5
2,2,2,2,0,0,0,0,0,46,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,47,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,49,28,4,1,4,329.5
1,2,2,2,2,0,0,0,0,5,28,4,1,1,341.12255859375
1,1,1,1,1,0,0,0,0,50,28,4,1,4,329.5
0,0,0,0,0,0,0,0,0,51,28,3,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,53,28,3,1,1,341.12255859375
1,1,1,1,1,0,0,0,0,54,28,3,1,1,341.12255859375
2,2,2,2,2,0,0,1,0,55,28,3,1,1,341.12255859375
3,1,0,0,0,0,0,0,0,56,28,3,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,57,28,3,1,1,341.12255859375
0,1,1,0,1,0,0,0,0,58,28,3,1,1,341.12255859375
2,2,2,1,2,0,0,0,0,59,28,3,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,6,28,4,1,1,341.12255859375
2,1,2,1,2,1,1,1,0,60,28,3,1,1,341.12255859375
2,2,2,2,2,0,0,0,0,61,28,3,1,1,341.12255859375
1,1,1,1,1,0,0,0,0,62,28,3,1,1,341.12255859375
2,2,2,0,0,0,0,0,0,63,28,3,1,1,341.12255859375
1,2,1,0,0,0,0,0,0,65,28,2,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,66,28,2,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,67,28,2,1,5,335.84747314453
2,2,2,0,0,0,0,0,0,68,28,2,1,5,335.84747314453
3,3,3,3,3,2,0,2,2,69,28,2,1,5,335.84747314453
0,1,1,0,0,0,0,0,0,7,28,4,1,1,341.12255859375
0,0,0,0,0,0,0,0,0,70,28,2,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,71,28,2,1,5,335.84747314453
3,3,3,3,2,3,0,0,0,72,28,2,1,5,335.84747314453
3,2,2,2,2,0,0,0,0,73,28,2,1,5,335.84747314453
1,1,1,1,0,0,0,0,0,74,28,2,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,75,28,2,1,5,335.84747314453
1,1,1,1,1,0,0,0,0,76,28,2,1,5,335.84747314453
3,3,3,3,3,0,0,0,0,77,28,2,1,5,335.84747314453
2,2,0,1,1,0,0,0,0,78,28,2,1,5,335.84747314453
0,0,0,0,0,0,0,0,0,79,28,2,1,5,335.84747314453
2,2,1,1,2,0,0,0,0,81,28,1,1,4,329.5
1,0,0,0,0,0,0,0,0,82,28,1,1,4,329.5
2,1,2,1,1,0,0,0,0,83,28,1,1,4,329.5
0,0,0,0,0,0,0,0,0,84,28,1,1,4,329.5
3,3,3,2,0,0,0,0,0,85,28,1,1,4,329.5
0,0,0,0,0,0,0,0,0,86,28,1,1,4,329.5
1,2,2,0,1,0,0,0,0,87,28,1,1,4,329.5
2,1,2,0,1,0,0,0,0,88,28,1,1,4,329.5
0,0,0,0,0,0,0,0,0,89,28,1,1,4,329.5
1,2,1,0,0,0,0,0,0,9,28,4,1,1,341.12255859375
0,0,0,1,0,0,0,0,0,90,28,1,1,4,329.5
1,1,1,1,0,0,0,0,0,91,28,1,1,4,329.5
0,0,0,0,0,0,0,0,0,92,28,1,1,4,329.5
0,1,2,0,0,0,0,0,0,93,28,1,1,4,329.5
3,1,2,2,2,0,0,0,0,94,28,1,1,4,329.5
0,2,2,2,0,0,0,0,0,95,28,1,1,4,329.5
3,2,3,2,0,0,0,0,0,96,28,1,1,4,329.5
0,1,0,0,0,0,0,0,0,97,28,1,1,4,329.5
1,1,1,1,0,0,0,0,0,98,28,1,1,5,335.84747314453
1,1,1,0,0,0,0,0,0,99,28,1,1,5,335.84747314453
2,2,2,2,2,0,0,0,0,328,29,4,1,7,334.59927368164
2,1,2,2,2,0,0,0,0,329,29,4,1,7,334.59927368164
1,1,0,1,0,0,0,0,0,330,29,4,1,7,334.59927368164
0,0,1,2,0,1,0,0,0,331,29,4,1,7,334.59927368164
2,2,0,2,0,0,0,0,0,332,29,4,1,7,334.59927368164
2,2,2,2,2,1,1,0,0,333,29,4,1,7,334.59927368164
1,2,2,2,2,1,0,0,0,334,29,4,1,7,334.59927368164
1,2,2,2,2,2,2,1,0,335,29,4,1,7,334.59927368164
