regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,FDSEC11_RC,ST1MAIS_RC,ST1ROOTS_RC,ST1OTHER_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,STRATG09_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,psurec,strrec,wgts
0,3,30492,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1632906031001,03012,389
0,3,30494,0,0,0,9,9,9,2,2,9,9,0,3,3,0,3,3,3,3,0,0,0,0,0,2,0,0,0,9,0,1632906031001,03012,389
0,3,30495,2,2,0,9,9,9,0,2,9,9,2,1,3,0,0,0,3,2,0,9,0,0,0,0,0,0,1,9,0,1632906031001,03012,389
0,3,30535,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1634608007000,03022,387.67999
0,3,30537,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1634608007000,03022,387.67999
0,3,30540,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,1634608007000,03022,387.67999
0,3,30541,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1634608007000,03022,387.67999
0,3,30542,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,1634608007000,03022,387.67999
0,3,30544,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1634608007000,03022,387.67999
0,3,30546,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1634608007000,03022,387.67999
0,3,30566,2,0,2,9,9,9,1,2,9,9,2,3,0,3,2,3,0,0,0,9,0,0,0,2,0,0,0,9,0,1635909005000,03032,389
0,3,30568,2,0,2,2,0,2,2,1,2,2,1,2,2,3,3,2,2,2,2,2,2,0,0,2,0,2,2,2,2,1635909005000,03032,389
0,3,30570,0,0,0,1,0,0,2,2,2,2,0,3,3,3,3,3,0,3,3,3,0,0,0,2,2,0,0,2,1,1635909005000,03032,389
0,3,30573,2,0,2,0,0,0,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1635909005000,03032,389
0,3,30575,0,0,0,0,0,0,2,2,2,1,0,3,0,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,1637309006000,03032,387
0,3,30577,2,0,2,2,0,2,2,2,2,2,2,2,3,3,0,0,2,2,2,2,0,0,0,0,2,0,0,2,0,1637309006000,03032,387
0,3,30579,2,2,2,2,2,2,1,1,1,1,2,2,2,0,2,2,3,2,2,4,2,0,0,1,1,0,0,0,0,1637309006000,03032,387
0,3,30581,0,0,1,0,0,1,1,1,2,1,2,1,1,0,1,1,3,1,1,1,0,0,0,0,0,0,0,1,0,1637309006000,03032,387
