regcode,provcode,hhnum,member_code,age,sex,csc,psc,rhc,educ,occup,wrkpl
3,69,1282,03,8.6433945,2,1,0,4,2,99,9
3,69,1282,04,7.321013,2,1,0,4,1,99,9
3,69,1282,05,7.321013,2,1,0,4,1,99,9
3,69,1282,06,1.0130048,1,1,99,3,99,99,9
3,69,1283,01,46.830936,1,,99,1,5,6,1
3,69,1283,02,20.993839,1,,99,3,6,6,1
3,69,1283,03,19.227926,2,,0,5,10,10,9
3,69,1283,04,.73374403,1,1,99,5,99,99,9
3,69,1284,01,73.503082,2,2,0,1,4,10,9
3,69,1284,02,47.019848,2,,0,4,0,10,9
3,69,1285,02,61.809719,2,2,0,9,6,0,9
3,69,1286,01,59.367558,1,,99,1,6,9,1
3,69,1286,02,55.414101,2,,0,2,6,10,9
3,69,1286,03,26.529774,1,,99,3,8,0,9
3,69,1286,04,19.01985,1,,99,3,10,0,9
3,69,1287,01,31.167694,1,,99,1,10,9,1
3,69,1287,02,24.585899,2,,3,2,6,10,9
3,69,1287,03,3.3894594,1,1,99,3,99,99,9
3,69,1287,04,2.3162217,1,1,99,3,99,99,9
3,69,1288,01,30.806297,1,,99,1,10,9,1
3,69,1288,02,22.403833,2,,0,2,9,10,9
3,69,1288,03,6.4887066,1,1,99,3,23,99,9
3,69,1288,04,5.0349078,2,1,0,4,99,99,9
3,69,1288,05,1.6262834,2,1,0,4,99,99,9
3,69,1288,06,64.851471,2,4,0,5,10,0,9
3,69,1289,01,54.46954,1,,99,1,0,6,1
3,69,1289,02,57.998631,2,,0,2,4,10,9
3,69,1289,03,27.537304,2,,12,4,3,10,9
3,69,1289,04,28.574949,1,,99,5,11,9,1
3,69,1289,05,3.7125256,1,1,99,5,99,99,9
3,69,1289,06,1.5030801,1,1,99,5,99,99,9
3,69,1290,01,56.829567,1,2,99,1,3,6,1
3,69,1290,02,48.602325,2,2,0,2,6,10,9
3,69,1290,03,21.127995,1,1,99,3,10,0,9
3,69,1290,04,7.780972,1,1,99,3,23,99,9
3,69,1291,01,53.957561,2,,0,1,14,1,0
3,69,1291,02,20.747433,1,,99,3,10,0,9
3,69,1291,03,19.7974,2,,0,4,13,14,9
3,69,1291,04,16.673512,2,,0,4,10,14,9
3,69,1291,05,15.367557,2,,0,4,8,14,9
3,69,1292,01,47.321014,1,,99,1,6,6,1
3,69,1292,02,49.36071,2,,0,2,6,10,9
3,69,1292,03,24.695414,1,,99,3,9,8,1
3,69,1292,04,22.160164,2,,0,4,6,0,9
3,69,1292,05,22.160164,2,,0,4,6,9,1
3,69,1292,06,13.752225,2,,0,4,6,14,9
3,69,1292,07,3.6796715,2,1,0,5,99,99,9
3,69,1293,01,36.783024,2,,1,9,10,10,9
3,69,1294,01,61.407257,1,2,99,1,14,6,1
3,69,1294,02,58.480492,2,2,0,2,8,9,1
