makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelused,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
3,1,1,1,1,1,3,1,1,2,1,3,28,2,144,4,6,8,329,1,1,0,1,0,1,0
1,1,1,1,3,3,3,0,0,2,1,3,28,1,145,3,6,8,329,4,1,0,1,0,1,0
1,1,1,1,1,1,3,0,1,2,1,3,28,4,146,5,2,6,329,1,2,0,1,0,1,0
3,4,1,1,3,3,3,1,0,2,1,3,28,1,147,3,6,8,329,1,1,0,1,0,1,0
99,4,2,1,1,1,5,0,0,2,1,4,28,0,148,2,6,2,335.84747314453,1,1,0,0,0,0,1
9,14,1,1,1,1,5,0,1,2,1,4,28,3,149,5,6,8,335.84747314453,1,1,0,9,0,1,0
2,1,1,1,3,3,1,0,1,2,1,4,28,1,15,3,6,8,341.12255859375,1,1,0,1,0,1,0
99,4,1,1,1,1,5,0,1,2,1,4,28,2,150,2,6,8,335.84747314453,4,1,0,0,0,1,0
3,4,1,1,1,1,5,0,1,2,1,4,28,2,151,4,6,6,335.84747314453,1,1,0,1,0,1,0
9,14,1,1,1,1,5,0,1,2,1,4,28,3,152,5,2,8,335.84747314453,1,1,0,9,1,0,1
99,5,1,1,3,3,5,0,1,2,1,4,28,1,153,2,6,8,335.84747314453,1,1,0,0,0,0,1
99,4,1,1,3,1,5,0,1,2,1,4,28,3,154,2,6,8,335.84747314453,1,1,1,0,0,0,1
99,4,1,1,3,1,5,0,1,2,1,4,28,2,155,2,6,8,335.84747314453,1,1,0,0,1,0,1
99,4,1,1,3,3,5,0,1,2,1,4,28,3,156,2,6,8,335.84747314453,1,1,0,0,1,0,1
9,14,2,1,3,3,5,0,0,2,1,4,28,2,157,2,6,8,335.84747314453,1,1,0,9,0,0,1
9,14,1,1,1,1,5,0,1,2,1,4,28,3,158,5,2,8,335.84747314453,1,1,0,9,1,0,1
99,5,1,1,1,1,5,0,1,2,1,4,28,1,159,2,6,8,335.84747314453,1,1,0,0,1,0,0
6,1,1,1,1,1,1,0,1,2,1,4,28,2,16,5,2,8,341.12255859375,1,1,0,1,0,1,0
99,4,2,1,1,1,5,0,0,2,1,4,28,2,160,3,6,8,335.84747314453,1,1,0,0,1,0,1
1,4,1,1,3,3,5,0,1,2,1,4,28,3,161,4,2,8,335.84747314453,1,1,0,1,1,0,1
99,1,1,1,1,1,1,0,0,2,1,1,28,2,166,2,6,8,341.12255859375,1,1,0,0,0,1,0
1,1,1,1,1,1,1,0,1,2,1,1,28,4,167,4,2,4,341.12255859375,1,1,0,1,0,1,0
99,1,1,1,1,1,1,0,1,2,1,1,28,2,168,4,2,8,341.12255859375,1,1,0,0,0,1,0
9,14,1,1,1,1,1,0,1,2,1,1,28,7,169,5,2,6,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,1,1,1,0,1,2,1,1,28,4,171,5,2,6,341.12255859375,1,1,0,9,0,1,0
99,1,1,1,1,1,1,0,1,2,1,1,28,2,172,4,2,8,341.12255859375,1,1,0,0,0,1,0
99,1,1,1,3,1,1,0,1,2,1,1,28,3,173,5,2,8,341.12255859375,1,1,0,0,0,1,0
99,1,3,1,1,1,1,0,1,2,1,1,28,4,174,4,5,6,341.12255859375,1,3,0,0,0,1,0
9,14,1,1,1,1,1,0,1,2,1,1,28,4,175,5,2,6,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,1,28,2,177,4,5,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,1,28,3,178,4,5,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,1,28,2,179,5,2,6,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,2,180,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,4,181,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,3,182,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,1,1,1,0,1,4,1,2,28,7,184,5,2,6,341.12255859375,1,4,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,4,185,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,3,186,3,6,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,2,187,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,3,1,2,2,1,0,1,2,1,2,28,2,188,5,6,8,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,3,3,1,0,0,2,1,2,28,3,189,5,2,6,341.12255859375,1,1,0,9,0,1,0
99,5,2,1,3,3,3,0,1,2,1,4,28,1,19,2,6,1,329,1,1,0,0,0,0,1
9,14,1,1,1,1,1,0,0,4,1,2,28,3,190,5,1,6,341.12255859375,1,4,0,9,0,1,0
9,14,1,1,3,3,1,0,1,2,1,2,28,4,191,5,2,8,341.12255859375,1,1,0,9,0,1,0
9,14,2,1,3,3,1,1,1,2,1,2,28,5,192,2,5,3,341.12255859375,1,1,0,9,0,1,0
9,14,1,1,1,1,1,0,1,2,1,2,28,6,193,5,2,8,341.12255859375,1,1,0,9,0,1,0
99,5,1,1,3,1,2,0,0,2,1,1,28,2,199,2,6,6,350.84017944336,3,1,0,0,1,0,0
9,14,1,1,1,1,1,0,1,2,1,4,28,1,2,5,2,8,341.12255859375,1,1,0,9,0,1,1
99,5,3,1,1,1,3,0,0,2,1,4,28,1,20,3,6,8,329,1,1,0,0,1,0,1
9,14,1,1,3,1,2,0,1,2,1,1,28,1,201,3,6,8,350.84017944336,4,1,0,9,0,0,1
2,5,1,1,3,3,2,1,1,2,1,1,28,3,202,4,2,8,350.84017944336,1,1,0,1,0,0,1
9,14,2,1,3,1,2,1,1,2,1,1,28,0,204,2,6,1,350.84017944336,1,1,1,9,1,0,1
99,4,2,0,3,1,2,9,0,2,1,1,28,0,205,1,6,8,350.84017944336,1,1,0,0,0,1,0
9,14,1,1,2,1,2,0,1,2,1,1,28,3,206,5,5,8,350.84017944336,1,1,0,9,0,0,1
99,4,1,1,2,1,2,0,0,2,1,1,28,2,207,5,6,8,350.84017944336,1,1,1,0,1,0,0
9,14,1,1,2,1,2,0,0,2,1,1,28,2,208,5,2,6,350.84017944336,1,1,0,9,1,0,0
9,14,3,2,3,1,2,0,1,2,1,1,28,1,209,2,6,8,350.84017944336,1,1,0,9,1,0,0
99,5,1,1,3,3,3,1,1,2,1,4,28,4,21,2,6,8,329,1,1,0,0,0,0,1
2,4,1,1,1,1,2,0,1,2,1,1,28,2,210,3,6,8,350.84017944336,1,1,0,1,1,0,1
9,14,1,1,1,1,2,0,1,2,1,1,28,4,211,5,2,6,350.84017944336,1,1,1,9,1,0,1
2,5,1,1,1,1,2,0,0,2,1,1,28,4,212,4,2,8,350.84017944336,1,1,1,1,1,0,1
9,14,1,1,3,3,2,0,1,2,1,1,28,1,213,3,6,8,350.84017944336,1,2,0,9,1,0,0
9,14,1,1,3,3,2,0,1,2,1,1,28,1,214,3,6,8,350.84017944336,1,2,0,9,1,0,0
99,1,1,2,1,1,2,0,1,2,1,1,28,1,215,2,6,8,350.84017944336,1,1,0,0,0,1,0
9,14,1,1,1,1,2,0,1,2,1,1,28,2,217,5,5,8,350.84017944336,1,1,0,9,1,0,0
9,14,3,1,3,3,3,0,1,2,1,4,28,1,22,3,6,8,329,1,1,0,9,1,0,1
99,8,3,1,3,1,5,0,0,1,1,3,28,0,220,2,6,8,335.84747314453,1,1,0,0,1,0,0
99,8,3,1,3,1,5,0,0,2,1,3,28,0,221,3,6,8,335.84747314453,1,1,1,0,1,0,1
99,8,1,1,3,1,5,1,0,2,1,3,28,2,223,4,2,8,335.84747314453,1,1,1,0,1,1,1
