regcode,provcode,hhnum,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,cu,psurec,strrec,wgts
1,28,40,368.40347,308.76505,4.8947368,54.743683,79.736839,47.052631,0,103.5602,49.421051,54.139145,103.26316,0,103.26316,328.08606,100.15658,156.37949,71.550003,0,285.63159,86.684212,198.94737,0,28.736841,24.473684,4.2631578,0,1344.4708,15845.818,544.26184,3710.9988,100.62738,4181.46,792.69489,8.1607199,9.5102997,199.29001,2644.3831,345.80264,6.3333335,11317014000,28012,5267.96
1,28,44,390.51251,387.3775,0,3.135,0,4.5,7.5,241.21466,85.714653,155.5,210.75,0,210.75,251.28453,75.151398,146.26064,29.872499,0,0,0,0,4.5,0.5,0.25,0.25,0,1110.7617,7688.022,210.45016,1272.1503,36.986671,2363.2341,264.19037,3.40745,2.4769599,78.131821,1002.4615,314.65607,4,11317014000,28012,5267.96
1,28,46,401.9563,398.09915,3.8571429,0,0,18.428572,33.857143,36,36,0,37.285713,0,37.285713,163.78273,163.78273,0,0,19.285715,0,0,0,7.5,52.285713,44.57143,1.2857143,6.4285712,770.3819,9156.3418,297.2301,2529.5808,44.405121,893.63092,47.52,3.1561201,2.4868801,118.61067,1751.5399,106.27471,4.6666665,12318023000,28012,5264
1,28,48,450.81799,450.81799,0,0,0,19.666666,0,246.66667,21.666666,225,168.66667,0,168.66667,117.16333,117.16333,0,0,0,30.5,30.5,0,0,54,5,49,0,1087.4813,5586.9526,140.22919,1231.4508,28.8204,693.56842,182.91299,2.15257,1.59632,56.71677,1217.459,17.005171,3,12318023000,28012,5264
1,28,52,279.10101,251.71367,0,27.387333,0,6.5333333,0,128.64996,34.84127,93.808685,9.333333,0,9.333333,228.29103,6.3555555,20.779921,201.15555,6.1437912,193.125,4.2361112,188.88889,0,4,0.55555558,3.4444444,0,855.17743,11746.566,431.40897,3294.5439,71.293938,2936.5627,214.493,5.2905698,5.1210198,164.69804,1924.5176,258.03525,9,12318023000,28012,5264
1,28,54,216.11133,194.24333,0,21.868,0,25,5.4347835,192.44342,71.444336,120.99908,0,0,0,219.38333,19.066668,200.31667,0,17.333334,53.375,53.375,0,8.333333,6,0.66666669,1,4.3333335,743.41455,4222.6211,129.9249,972.4682,21.612761,901.47369,94.993599,1.3647,1.82007,38.381641,662.86078,117.01357,3,12318023000,28012,5264
1,28,59,129.67876,60.49025,0,69.188499,0,14.5,0,41.57716,0,41.57716,0,0,0,75.4375,0,75.4375,0,0,81.96875,81.96875,0,0,59.25,53.5,5.75,0,402.41217,3908.9297,91.725227,813.17749,26.318199,260.88242,219.4343,3.5880599,2.22539,36.31889,638.88159,110.49327,4,12318023000,28012,5264
1,29,61,198.5925,108.4355,7.5,82.656998,0,83.150002,42.5,88.023849,77.666328,10.357528,0,0,0,167.27301,50.744133,76.061386,40.467499,36.814655,10,0,10,18.75,9.25,5,4.25,0,654.354,6298.4067,187.82208,1665.2385,57.95462,3379.8027,62.594002,5.42381,3.6600201,75.576897,953.32013,199.42805,4,21207010000,29012,5276
1,29,62,398.37241,398.37241,0,0,0,43.799999,6,143.8024,0,143.8024,12,0,12,273.80646,264.80646,9,0,0,0,0,0,0,317.10001,312.60001,4.5,0,1194.8812,6296.7773,217.31419,1653.0864,33.76572,892.44336,79.160004,2.60498,2.1305699,111.07051,1077.2443,27.82126,3.3333333,21207010000,29012,5276
1,29,63,320.517,320.517,0,0,0,35,0,45,0,45,0,0,0,31.459999,31.459999,0,0,0,76.25,76.25,0,2,24,24,0,0,534.22699,1375.1816,30.374861,401.37396,10.25511,525.565,18.306999,0.83543003,0.58573997,11.75045,292.14105,9.3484602,1,21207010000,29012,5276
1,29,66,291.14746,269.44452,0,21.702948,0,101.68421,0,83.758751,47.017052,36.741699,0,0,0,273.33096,38.147369,235.18361,0,61.578949,0,0,0,6.3157897,12.631579,0.31578946,12.315789,0,830.44775,13115.369,433.98395,2034.1725,68.948219,2319.6912,106.95789,9.5327101,4.1163802,116.67886,1621.9583,541.83887,6.3333335,21207010000,29012,5276
1,29,67,464.41843,433.50986,3.4285715,27.48,0,64.285713,0,380.39093,376.01303,4.3778806,0,0,0,290.10825,59.886429,200.05037,30.171429,0,0,0,0,0,69,68.571426,0.42857143,0,1268.2032,13608.006,374.97787,3068.2009,67.212753,3918.1384,385.53,5.2580299,4.7391,136.27518,2169.3633,379.81049,4.6666665,21207010000,29012,5276
1,29,71,386.56995,355.00024,0,31.569706,108.58131,25.058823,0.35294119,246.21352,135.15913,111.05437,151.23529,0,151.23529,212.25134,123.07738,89.173965,0,40.941177,273.15442,273.15442,0,7.0588236,15.705882,1.7647059,13.941176,0,1467.1234,15092.792,458.47687,4987.6777,85.811852,6393.8467,424.93481,7.8551898,8.4427795,194.33157,2378.6289,414.5968,5.6666665,29225015000,29022,5288
1,29,72,640.80701,587.61499,0,53.192001,0,2,0,69.739998,48.740002,21,0,0,0,278.2952,278.2952,0,0,58,0,0,0,0,69,22,47,0,1117.8422,2940.2383,107.40645,571.95551,20.59388,613.0155,15.8922,2.23248,0.98422998,59.023392,549.04333,35.335361,1,29225015000,29022,5288
1,29,76,189.49414,154.75357,0,34.74057,108.40336,24.948572,2.8571429,1.5444014,0,1.5444014,26.571428,26.571428,0,121.74429,4.0442858,40.557144,77.14286,51.142857,0,0,0,11.428572,43.285713,41.42857,1.8571428,0,581.42047,8393.1455,251.64819,1667.2891,54.957119,1680.5734,594.15118,4.7778301,3.5051701,116.7294,1266.0681,257.9527,7,29225015000,29022,5288
1,29,77,558.36749,558.36749,0,0,0,9,20.280001,343.77649,296.21552,47.560974,0,0,0,227.3867,25.025,202.36169,0,0,38.125,38.125,0,0,9.5,1,8.5,0,1206.4357,5313.5264,135.25601,995.71405,23.609541,1253.7572,129.7242,2.4147,1.52922,51.116268,815.8172,167.53883,2,29225015000,29022,5288
1,29,79,498.26733,479.64734,0,18.620001,0,47.200001,0,469.75729,0,469.75729,0,0,0,349.94626,307.99335,0,41.952942,46.666668,63.541668,63.541668,0,21.333334,9.333333,3,6.3333335,0,1506.0459,8779.2803,304.93073,2309.0471,47.239109,2212.6252,247.04919,3.2228,3.44961,137.82047,1493.9042,175.73441,3,29225015000,29022,5288
1,29,82,276.42856,276.42856,0,0,0,0.71428573,8.5714283,107.85714,0,107.85714,0,0,0,142.85715,0,142.85715,0,23.571428,0,0,0,0,14.428572,0.71428573,13,0.71428573,574.42859,8581.6836,275.07385,1168.2775,43.577049,1321.5212,84.585999,6.7147598,3.7936201,128.6235,1461.3896,181.1003,7,30626001000,29022,5275.96
1,29,83,277.58801,277.58801,0,0,0,12,0,437.04855,143.84763,293.20093,0,0,0,70.599998,20,50.599998,0,0,0,0,0,0,1.4,1.4,0,0,798.63654,5004.207,155.80498,1431.2601,44.479771,2260.915,294.88751,3.7653,2.2892399,75.4608,964.75769,57.430828,5,30626001000,29022,5275.96
1,29,86,173.172,170.664,0,2.5079999,0,2,0,177.65402,59,118.65401,8,0,8,185.16954,123.518,61.651546,0,0,0,0,0,12,0,0,0,0,557.99554,5907.395,177.31288,955.21039,34.055401,1315.71,106.906,2.7137301,1.90544,71.590736,755.45728,241.6306,5,30626001000,29022,5275.96
1,29,87,478.67111,478.67111,0,0,9.2069654,0,0,3.1803875,0,3.1803875,0,0,0,448.1842,120.49925,327.68497,0,0,0,0,0,7.1999998,1.2,0,1.2,0,947.6427,13982.499,853.83514,1372.4889,55.119301,2461.2378,25.639521,12.35921,13.31922,370.17691,1915.9523,320.91278,8.333333,30626001000,29022,5275.96
1,29,88,226.48,226.48,0,0,0,3,58,87.301079,0,87.301079,0,0,0,94.379997,94.379997,0,0,33,0,0,0,5,3,0,3,0,510.16107,5690.9917,165.51526,1317.0953,27.843399,527.68164,21.821501,2.3129001,2.1328499,68.320229,1090.6971,73.735603,5,30626001000,29022,5275.96
1,29,96,325.33334,307,0,18.333334,0,0,10.833333,56.666668,0,56.666668,16.666666,0,16.666666,292.21667,292.21667,0,0,0,0,0,0,9.5,6.6666665,0,6.6666665,0,717.88336,8658.7539,300.61215,2384.2393,32.35265,788.495,73.450996,3.44067,3.4848101,102.9192,1607.4971,113.61717,6,31427008000,29012,5296
1,29,99,590.34497,590.34497,0,0,0,6,0,668.80939,63.492065,605.31732,0,0,0,71.5,71.5,0,0,0,0,0,0,0,12.5,2,10.5,0,1349.1544,4801.1582,139.34651,2311.0093,36.960972,1084.9708,164.2466,2.3216,1.83356,52.91774,1035.3539,10.69141,2,31427008000,29012,5296
1,29,100,242.72771,234.87057,0,7.8571429,0,3.5714285,0,221.43295,114.28571,107.14724,14.714286,0,14.714286,56.028572,8.1714287,47.857143,0,31.428572,0,0,0,9.2857141,9.1428576,1.2857143,7.8571429,0,588.33209,7774.8486,194.33261,1928.3171,41.40733,1848.9454,254.39143,3.90135,3.2442801,79.126534,1416.5587,147.86,7,31427008000,29012,5296
1,29,101,489.319,489.319,0,0,0,3.4000001,0,141.28142,25.152382,116.12903,0,0,0,71.540001,71.540001,0,0,0,0,0,0,7,7.5999999,2,5.5999999,0,720.14044,9890.1895,298.04739,4877.5503,55.135151,1437.6707,238.8856,3.2274799,2.5225501,125.3676,2045.0936,56.769421,5,31427008000,29012,5296
1,29,103,574.28571,574.28571,0,0,0,17.142857,0,104.89796,54.421768,50.476192,0,0,0,174.66429,174.66429,0,0,0,0,0,0,0,9,2.5714285,6.4285712,0,879.99084,5374.2319,149.7372,2766.8799,30.3496,245.25,26.02,1.54354,1.38266,60.776402,1151.043,18.2778,2.3333333,31427008000,29012,5296
1,29,105,400.99094,293.65482,23.82353,83.512589,0,52.983528,0,217.74728,42.308182,175.4391,44.117645,44.117645,0,231.61131,116.47695,115.13435,0,36.661259,58.235294,0,58.235294,26.207142,28.411764,14.823529,13.588235,0,1096.9662,13631.503,394.6965,2882.7646,119.38668,3333.5547,180.5641,9.5608501,5.6352301,146.69299,2204.123,360.88992,5.6666665,35234012000,29012,5275.96
1,29,107,441.25,421,6.5,13.75,0,27,0,182.60286,141.205,41.39785,0,0,0,71.662498,71.662498,0,0,0,0,0,0,0,8.25,7.5,0.75,0,730.76538,6807.4038,151.9734,1335.8621,36.908791,1111.715,108.418,3.5221,2.2286999,67.362396,1441.7506,54.103001,4,35234012000,29012,5275.96
1,29,108,472.87183,456.52289,0,16.348942,0,50.823528,0,145.33904,2.0498824,143.28915,30,0,30,278.65952,168.97977,71.562103,38.117645,0,100.91912,100.91912,0,0,178.94118,173.29411,5.647059,0,1257.5542,13654.56,396.2005,1882.4379,64.697021,1844.6746,279.34705,3.7634101,3.59675,170.03793,2112.6887,154.56018,5.6666665,35234012000,29012,5275.96
1,29,110,287.48611,246.12776,0,41.358353,0,43.48941,0,295.52042,35.506874,260.01355,0,0,0,89.813011,34.52301,45.644119,9.6458826,0,174.70589,174.70589,0,0,12,1.4117647,10.588235,0,903.01483,6575.21,216.39671,2536.4758,42.207142,1148.3175,332.80396,3.8926599,2.44982,65.944183,1095.4697,146.95824,5.6666665,35234012000,29012,5275.96
1,33,115,255.72549,250.1665,0,5.559,0,21.75,0,201.05095,24.718309,176.33264,78.75,0,78.75,172.50719,94.024681,78.482498,0,11.939655,135.0625,135.0625,0,8.5,44.8125,0.375,5.25,39.1875,930.09827,13042.269,390.41849,4835.7529,132.80539,2755.0127,300.67902,6.2430801,6.0459399,147.55882,2332.9807,237.77716,8,37101008000,33022,5292
1,33,116,333.55801,318.74301,13.875,0.94,0,56.125,19.36413,286.47961,29.041666,257.43793,7.625,0,7.625,67.715897,67.715897,0,0,0,0,0,0,2.25,6.375,0.875,5.5,0,779.49261,10832.298,293.96408,2059.5034,55.310612,1575.1128,379.87149,3.8631301,2.3868001,128.24574,2175.4958,105.54736,8,37101008000,33022,5292
1,33,117,433.853,429.673,0,4.1799998,26.666666,46.533333,8,133,6.6666665,126.33334,0,0,0,123.31333,67.646667,55.666668,0,69.666664,0,0,0,15.333333,15,2.6666667,12.333333,0,871.36633,6244.9453,163.32889,1354.4038,30.51141,688.43701,78.527496,1.77194,1.95632,62.506908,1178.2982,96.841377,3,37101008000,33022,5292
1,33,118,332.51419,262.66061,0,69.8536,0,54.304001,12.012,87.674881,0,87.674881,49.200001,0,49.200001,176.4772,0,176.4772,0,0,38.125,38.125,0,0,5.5999999,1.4,4.1999998,0,755.90729,8758.6514,279.49252,1426.6605,42.770451,1238.3651,48.823898,4.8601198,5.1244402,105.21014,1449.7284,203.414,5,37101008000,33022,5292
1,33,119,245.5715,228.6185,0,16.952999,0,29.133333,12.5,63.203773,0,63.203773,7.5,7.5,0,85.325592,60.69059,24.635,0,0,44.479168,44.479168,0,2.5,5,0.83333331,4.1666665,0,495.21338,7486.9058,226.30711,1461.6223,30.685671,750.81622,143.21712,3.75456,2.61606,94.156357,1430.0179,95.060577,6,36201025000,33012,5272
1,33,122,324.35849,298.8465,4,21.511999,0,21.370001,0,0,0,0,0,0,0,137.211,137.211,0,0,0,19.5,19.5,0,4.1750002,0,0,0,0,506.6145,4443.9004,144.60568,4101.2227,26.97271,1139.554,2.8099999,1.56784,1.8613501,48.076691,882.81689,36.920792,4,36201025000,33012,5272
1,33,124,428.47733,399.198,3.3333333,25.945999,0,12.5,0,140,0,140,16.666666,0,16.666666,183.24928,137.14999,46.099289,0,0,12.708333,12.708333,0,0.5,19,0.66666669,18.333334,0,813.10162,12312.645,342.19986,2550.9907,74.645943,1236.5883,155.36586,4.6474299,3.4433,118.60089,2320.9116,183.79761,6,36201025000,33012,5272
1,33,127,810.70374,774.91248,3.75,32.041248,0,87.5,0,512.25,67.5,444.75,56,56,0,430.84775,420.85001,9.9977503,0,11.5,118.1875,118.1875,0,0,44,32.75,11.25,0,2070.989,15665.863,639.98688,12504.236,99.884171,2744.062,1024.0854,6.10638,7.39326,243.41341,3007.6189,118.42812,4,36201025000,33012,5272
1,33,128,253.39543,248.85715,0,4.5382857,0,13.571428,0,0,0,0,10,0,10,144.50743,144.50743,0,0,0,0,0,0,0,25.142857,0.5714286,24.571428,0,446.61716,7499.7061,221.19711,1018.2394,25.548969,394.49976,12.35,2.1268301,1.75377,79.805252,1568.5601,37.174049,7,36201025000,33012,5272
1,33,132,226.81419,183.202,0,43.612202,0,8,51,236.03575,19.409195,216.62656,143,0,143,86,36,50,0,0,0,0,0,33,4,1,3,0,787.84998,7472.1509,204.58389,1401.1879,45.262852,1410.8416,418.54572,4.19484,2.42488,92.018028,1052.0216,271.70822,5,44809006000,33022,5252
1,33,133,235.584,186.31599,0,49.268002,0,3.4000001,0,29.863731,20.425531,9.4382,194.85715,0,194.85715,203.34,0,203.34,0,55,157.325,151.325,6,8.8000002,0,0,0,0,888.16986,7502.4819,266.25708,2184.2256,38.941292,1639.0203,82.887962,4.3954401,5.8657198,67.87355,1080.7373,234.8663,5,44809006000,33022,5252
1,33,134,192,192,0,0,8.666667,11.24,0,0,0,0,0,0,0,283.07666,60.91,222.16667,0,0,0,0,0,6.6666665,0.33333334,0.33333334,0,0,501.98334,7295.8833,278.12781,1966.8781,40.037479,398.41867,15.2036,3.3942001,2.61693,67.559639,976.43005,252.869,6,44809006000,33022,5252
1,33,136,321.95999,321.95999,0,0,0,14.666667,0,7.9365082,7.9365082,0,17.166666,0,17.166666,67.158333,67.158333,0,0,0,0,0,0,0,36.5,2.3333333,34.166668,0,465.38818,6297.813,164.73898,1437.7749,38.734699,582.09497,35.740002,1.44555,1.17085,74.910042,1360.3846,21.775949,6,44809006000,33022,5252
1,33,137,154.56799,154.56799,0,0,0,2.6666667,0,144.62364,61.995827,82.627823,0,0,0,56.804123,0,56.804123,0,0,0,0,0,3.6666667,0.66666669,0.66666669,0,0,362.99576,2926.866,57.485222,366.09668,9.0589399,315.14517,70.384399,1.25632,0.64410001,21.84033,406.91321,118.78202,3,44809006000,33022,5252
1,33,139,654.95538,593.11768,5.8235292,56.014236,0,36.077648,7.9411764,373.35217,106.23529,267.11688,0,0,0,160.95035,104.02412,56.926235,0,0,0,0,0,11.823529,8.1176472,3.3529413,4.0588236,0.70588237,1253.2179,16321.772,402.66739,2558.0166,72.545731,1313.3391,282.43967,9.0735903,5.3429599,179.55997,2885.1267,356.08987,5.6666665,45009013000,33032,5248
1,33,140,611.11639,599.6842,0,11.432211,0,79.263161,0,176.52632,69.473686,107.05264,0,0,0,138.65526,138.65526,0,0,0,0,0,0,6.6315789,6.1578946,2.0526316,4.1052632,0,1018.3506,16933.682,377.80179,2470.1892,62.957809,1671.1261,95.496597,4.8828402,3.4500899,154.08791,3641.7898,92.790138,6.3333335,45009013000,33032,5248
1,33,141,583.70459,550.76141,19.285715,13.657429,36.779495,38.348572,1.5527958,3.8571429,0,3.8571429,25.974026,25.974026,0,238.35857,154.22285,84.135712,0,0,0,0,0,2.8571429,22,12.714286,7.1428571,2.1428571,953.43231,18152.037,510.73181,1936.7865,65.214394,1353.6793,438.40027,6.3214698,3.9156699,221.34949,3492.0388,237.66708,7,45009013000,33032,5248
1,33,142,547.54797,531.508,0,16.040001,0,31.985001,0,177.5,19.75,157.75,58.18182,5.681819,52.5,159.65932,101.7528,57.906509,0,0,0,0,0,6.25,28.375,2.5,25.875,0,1009.4991,20447.533,478.1185,3038.5769,71.323807,1519.7915,297.47241,7.5081701,5.1689801,187.11516,3842.1431,350.06277,8,45009013000,33032,5248
1,33,143,295.95599,288.89719,7.0588236,0,0,39.705883,30.882353,213.17299,52.058823,161.11417,25.235294,25.235294,0,72.824905,17.664705,55.160202,0,0,80.735291,80.735291,0,2.6470587,16.941177,2.1176472,14.823529,0,778.10095,9552.2344,196.02443,1988.8861,50.717701,1652.6505,152.33302,3.0193901,2.8250899,75.395081,1735.1406,201.08504,5.6666665,45009013000,33032,5248
1,33,148,255.70941,232.00941,0,23.700001,0,55.842354,72.352943,94.411766,34.411766,60,160.58824,0,160.58824,299.08038,67.092354,231.98804,0,0,73.963234,17.492647,56.470589,116.47059,39.882355,36.35294,3.5294118,0,1168.3013,10977.557,332.78003,2948.7708,64.138802,844.40515,231.11623,6.21486,3.6317101,77.49765,1578.7634,368.48462,5.6666665,49714057004,33012,5280
1,33,151,167.776,150.60001,0,17.176001,0,4.8000002,0,144.69075,4.8000002,139.89075,35.200001,14,21.200001,126.64449,126.64449,0,0,0,0,0,0,0,9,0.40000001,8.6000004,0,488.11124,4009.5811,140.38277,1140.2817,27.83103,636.66943,99.250961,2.13344,1.78565,49.468128,806.74316,24.14723,5,49714057004,33012,5280
1,33,154,711.67065,677.78735,0,33.883335,0,20.666666,0,98.666664,0,98.666664,0,0,0,135.50908,81.643097,53.865978,0,0,0,0,0,11.333333,23.666666,3.6666667,20,0,1001.5131,9702.4277,213.05626,1206.5072,33.495232,341.18021,24.07844,3.2081599,1.70515,81.754601,1821.4738,173.14955,3,49714057004,33012,5280
1,33,155,567.32355,547.38483,0,19.938749,0,35.549999,0,300.20108,0,300.20108,0,0,0,261.72897,115.56896,0,146.16,0,0,0,0,0,2.8499999,0.89999998,1.95,0,1167.6536,17032.809,527.98358,3773.7639,81.468582,1400.1566,362.60931,6.2937398,4.9778399,200.10393,3473.2451,113.168,6.6666665,54319011000,33032,5232
1,33,156,403.51099,393.51099,0,10,0,16,9,218.78572,1.7857133,217,0,0,0,135.92899,135.92899,0,0,0,20.333334,20.333334,0,4.3333335,12.666667,7,5.6666665,0,820.55902,5086.9429,154.3856,1337.1761,26.909531,511.67941,160.1646,2.3915999,2.20856,69.690086,1029.2969,39.17054,3,54319011000,33032,5232
1,33,162,441.61374,419.56424,0,22.0495,304.23187,41,3.25,129.6955,2.9553576,126.74014,609.25,597,12.25,144.82593,19.094757,125.73117,0,0,0,0,0,6.5,34.75,6.5,28.25,0,1715.1171,11213.569,225.97935,2067.1104,52.477032,1096.7179,1212.592,4.7467699,3.05164,91.401527,2087.0269,216.61453,4,54319011000,33032,5232
1,33,163,697.41248,694.79999,0,2.6125,0,8.54,0,397.75,0,397.75,347.71429,0,347.71429,251.73425,23.237499,228.49675,0,0,1.875,1.875,0,10,31.25,24.5,6.75,0,1746.276,13295.517,307.21524,2113.6091,48.501171,1087.1573,371.24875,5.5528202,3.3142099,111.45043,1980.0016,434.77939,4,54319011000,33032,5232
1,55,169,363.73636,346.7291,0,17.007273,64.171127,32.301819,0,237.27272,91.36364,145.90909,144.54546,0,144.54546,722.13544,282.19092,439.94455,0,54.545456,0,0,0,35.727272,49.090908,1.3636364,47.727272,0,1703.5266,12495.996,522.39825,2510.6958,64.013702,2069.4521,366.9581,11.35981,4.9939299,165.8138,1218.7063,613.69434,3.6666667,58003031001,55052,5444.0601
1,55,172,181.20641,152.1684,0,29.038,0,17.799999,0,51.799999,0,51.799999,84,0,84,251.16109,136.31429,114.84681,0,0,96.074997,96.074997,0,3,83,83,0,0,768.04248,6403.0581,186.92274,1559.6886,34.890759,828.60602,185.69009,4.9889002,3.63428,60.012112,978.66138,194.98334,5,58003031001,55052,5444.0601
